desc,links
"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",https://github.com/lencx/ChatGPT
Reverse engineered ChatGPT API,https://github.com/acheong08/ChatGPT
This repo includes ChatGPT prompt curation to use ChatGPT better.,https://github.com/f/awesome-chatgpt-prompts
用 Express 和 Vue3 搭建的 ChatGPT 演示网页,https://github.com/Chanzhaoyu/chatgpt-web
ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,https://github.com/PlexPt/awesome-chatgpt-prompts-zh
One-Click to deploy well-designed ChatGPT web UI on Vercel. 一键拥有你自己的 ChatGPT 网页服务。,https://github.com/Yidadaa/ChatGPT-Next-Web
科研工作专用ChatGPT/GLM拓展，特别优化学术Paper润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，新增Python和C++项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，…,https://github.com/binary-husky/chatgpt_academic
Use ChatGPT On Wechat via wechaty,https://github.com/fuergaosi233/wechat-chatgpt
全网最易部署，响应速度最快的ChatGPT环境。PHP版调用OpenAI接口进行问答，采用Stream流模式通信，一边生成一边输出。前端采用EventSource，支持Markdown格式解析，支持公式显示，代码有着色处理。页面UI简…,https://github.com/dirk1983/chatgpt
"Optimized UI for ChatGPT, DALL-E and Stable Diffusion.",https://github.com/ddiu8081/chatgpt-demo
An open source ChatGPT UI.,https://github.com/mckaywrigley/chatbot-ui
Node.js client for the official ChatGPT API. 🔥,https://github.com/transitive-bullshit/chatgpt-api
Elegant and Powerfull. Powered by OpenAI and Vercel.,https://github.com/ourongxing/chatgpt-vercel
The ChatGPT Retrieval Plugin lets you easily search and find personal or work documents by asking questions in everyd…,https://github.com/openai/chatgpt-retrieval-plugin
ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,https://github.com/AutumnWhj/ChatGPT-wechat-bot
"Wechat robot based on ChatGPT, which using OpenAI api and itchat library. 使用ChatGPT搭建微信聊天机器人，基于GPT3.5/4.0 API和itchat实…",https://github.com/zhayujie/chatgpt-on-wechat
A browser extension that enhance search engines with ChatGPT,https://github.com/wong2/chatgpt-google-extension
